date,expiry,type,entry_ts,atm,lot,short_strike,long_strike,credit,margin,spot_entry,exit_ts,exit_reason,gross_pnl,charges,net_pnl
2025-08-18,2025-08-21,bear_call,2025-08-18 10:26:00,25000,75,25000,25400,115.94999999999999,21303.75,24979.7,2025-08-19 15:01:00,TIME,3123.7499999999995,112.34337028249999,3011.4066297174995
2025-08-20,2025-08-21,bear_call,2025-08-20 10:23:00,25000,75,25000,25400,62.15,25338.75,24990.65,2025-08-21 15:01:00,TIME,-2617.5,104.50800866000002,-2722.00800866
2025-08-22,2025-08-28,bear_call,2025-08-22 10:17:00,24950,75,24950,25350,110.0,21750.0,24950.9,2025-08-25 15:01:00,TIME,941.2499999999998,112.46304212749999,828.7869578724998
2025-08-26,2025-08-28,bear_call,2025-08-26 10:16:00,24800,75,24800,25200,59.55,25533.75,24783.75,2025-08-28 15:01:00,TIME,4440.0,101.635627145,4338.364372855
2025-08-29,2025-09-02,bull_put,2025-08-29 10:17:00,24500,75,24500,24100,81.95,23853.75,24483.25,2025-09-01 15:01:00,TIME,5010.0,105.29325707000001,4904.70674293
2025-09-02,2025-09-02,bear_call,2025-09-02 10:17:00,24750,75,24750,25150,31.600000000000005,27630.0,24726.1,2025-09-02 15:01:00,TIME,2347.5000000000005,97.901877695,2249.5981223050003
2025-09-03,2025-09-09,bear_call,2025-09-03 10:17:00,24600,75,24600,25000,111.4,21645.0,24591.35,2025-09-04 15:01:00,TIME,-5212.5,118.41942854,-5330.91942854
2025-09-05,2025-09-09,bear_call,2025-09-05 10:22:00,24650,75,24650,25050,91.69999999999999,23122.5,24638.4,2025-09-08 15:01:00,TIME,-6131.250000000002,112.10731333250001,-6243.357313332502
2025-09-09,2025-09-09,bear_call,2025-09-09 10:40:00,24800,75,24800,25200,52.150000000000006,26088.75,24819.1,2025-09-09 15:01:00,TIME,-828.7499999999998,102.2767184375,-931.0267184374998
2025-09-10,2025-09-16,bull_put,2025-09-10 10:26:00,25050,75,25050,24650,96.9,22732.5,25025.05,2025-09-11 15:01:00,TIME,1218.7500000000011,112.10265277250001,1106.647347227501
2025-09-12,2025-09-16,bear_call,2025-09-12 10:19:00,25050,75,25050,25450,100.10000000000001,22492.5,25066.6,2025-09-15 15:01:00,TIME,1710.000000000001,108.482181005,1601.5178189950009
2025-09-16,2025-09-16,bear_call,2025-09-16 10:25:00,25150,75,25150,25550,54.75,25893.75,25161.45,2025-09-16 15:01:00,TIME,-1170.0000000000007,102.68636135,-1272.6863613500007
2025-09-17,2025-09-23,bear_call,2025-09-17 10:16:00,25300,75,25300,25700,126.25,20531.25,25311.85,2025-09-18 15:01:00,TIME,-3352.5000000000014,117.237048545,-3469.7370485450015
2025-09-19,2025-09-23,bear_call,2025-09-19 10:17:00,25300,75,25300,25700,93.10000000000001,23017.5,25313.95,2025-09-22 15:01:00,TIME,5025.0,106.158027185,4918.841972815
